date,symbol,action,shares,price,value,bucket,signal_strength,confidence,pnl
2024-10-31,binancecoin,BUY,0.0274815793849695,36388.01052849714,1000.0000000000002,residual_long,STRONG,0.9241226065220342,
2024-10-31,litecoin,SHORT,,45594.32777031757,594.0000000000001,residual_short,WEAK,0.521553698283029,
2024-10-31,uniswap,BUY,0.01765242262648945,56419.45137351741,995.9400000000002,residual_long,WEAK,0.599043862290997,
2024-11-01,polkadot,SHORT,,54157.1594926123,591.5883600000001,residual_short,WEAK,0.446381258290365,
2024-11-02,binancecoin,BUY,0.0257225657502509,38561.33533608812,991.8964836000001,residual_long,MODERATE,0.6434903358973251,
2024-11-02,cardano,BUY,0.020007452511400486,49080.587256396466,981.9775187640001,residual_long,WEAK,0.593449476986226,
2024-11-02,solana,BUY,0.023876376399076655,40716.30164173301,972.1577435763601,residual_long,STRONG,0.8023638601943143,
2024-11-02,polkadot,SHORT,,52756.1597777294,577.4616996843579,residual_short,WEAK,0.4682716225429931,
2024-11-02,chainlink,BUY,0.015589565048741528,49685.06973018336,774.5686265099521,residual_long,WEAK,0.3619670670100655,
2024-11-02,uniswap,BUY,0.01346379879670628,57069.48604177325,768.3720774978725,residual_long,WEAK,0.44592298414730736,
2024-11-03,binancecoin,BUY,0.019250288711643474,39595.51528268042,762.2251008778895,residual_long,WEAK,0.33804255722069326,
2024-11-05,ripple,BUY,0.011253146230879847,67192.5241667945,756.1273000708665,residual_long,WEAK,0.44035242891683457,
2024-11-05,litecoin,BUY,0.015870167778743227,47263.41221640815,750.0782816702996,residual_long,WEAK,0.3605616621784968,
2024-11-05,uniswap,SELL,0.03111622142319573,57260.99839844817,1781.7459050793695,residual_long,WEAK,0.38424615482778185,20.07703645831566
2024-11-05,uniswap,SHORT,,57260.99839844817,568.7487169931791,residual_short,WEAK,0.38424615482778185,
2024-11-06,binancecoin,SELL,0.07245443384686387,38330.35646977445,2777.2042771659835,residual_long,WEAK,0.35907752013935373,51.40104941464142
2024-11-06,binancecoin,SHORT,,38330.35646977445,588.824434958134,residual_short,WEAK,0.35907752013935373,
2024-11-06,litecoin,SELL,0.015870167778743227,44896.716247473654,712.518419562034,residual_long,MODERATE,0.7137384928848333,-37.559862108265634
2024-11-06,litecoin,SHORT,,44896.716247473654,596.6324920852551,residual_short,MODERATE,0.7137384928848333,
2024-11-06,uniswap,SHORT,,55704.021786331774,600.2122870377666,residual_short,WEAK,0.5041294127959455,
2024-11-07,chainlink,SELL,0.015589565048741528,50916.42740658602,793.7649571044986,residual_long,MODERATE,0.6006747366681239,19.196330594546566
2024-11-07,chainlink,SHORT,,50916.42740658602,608.5761505026202,residual_short,MODERATE,0.6006747366681239,
2024-11-07,uniswap,SHORT,,53965.86906681787,612.2276074056358,residual_short,MODERATE,0.6041697625457867,
2024-11-08,binancecoin,BUY,0.020841215931141365,39402.75366434055,821.201297400093,residual_long,WEAK,0.3613367118701263,
2024-11-08,cardano,SELL,0.020007452511400486,49919.37065963697,998.7594378716853,residual_long,WEAK,0.3650862255813914,16.781919107685212
2024-11-08,cardano,SHORT,,49919.37065963697,616.9663218928993,residual_short,WEAK,0.3650862255813914,
2024-11-08,ripple,BUY,0.011917226081894964,69442.12414970134,827.557493099009,residual_long,WEAK,0.49985558155430726,
2024-11-09,cardano,BUY,0.016099871941426733,50990.28340976154,820.9370331542169,residual_long,WEAK,0.37406808611443326,
2024-11-09,ripple,BUY,0.01390066328906221,73231.17609159097,1017.9619211112289,residual_long,WEAK,0.5797428454750969,
2024-11-11,cardano,BUY,0.01548657771192747,52059.6516878712,806.2258415200934,residual_long,WEAK,0.49010721628456305,
2024-11-11,solana,SELL,0.023876376399076655,38523.05569243657,919.790977755208,residual_long,WEAK,0.39643821264483675,-52.36676582115206
2024-11-11,solana,SHORT,,38523.05569243657,605.3507719574807,residual_short,WEAK,0.39643821264483675,
2024-11-11,ripple,BUY,0.010519172173092946,77190.21567710389,811.9771687856341,residual_long,WEAK,0.35096234985172864,
2024-11-11,polkadot,BUY,0.014497627296280253,55559.529499148906,805.4813514353491,residual_long,WEAK,0.3683222879339205,
2024-11-11,litecoin,SHORT,,43950.185916293565,599.2781254678997,residual_short,WEAK,0.5486248904776717,
2024-11-12,ripple,SELL,0.04759020777492996,75142.18391671673,3576.03214525855,residual_long,WEAK,0.3658478444725979,206.35289230303897
2024-11-12,ripple,SHORT,,75142.18391671673,624.3299870922584,residual_short,WEAK,0.3658478444725979,
2024-11-12,litecoin,SHORT,,41600.17164223945,628.0759670148119,residual_short,MODERATE,0.7193908052020216,
2024-11-12,uniswap,BUY,0.015458855036264004,54496.87111019928,842.4592304225345,residual_long,WEAK,0.48092555453400604,
2024-11-14,solana,BUY,0.02516129130534013,41518.11737508999,1044.6494457239428,residual_long,STRONG,0.8188674383362717,
